no,ort_tuketim_1,ort_tuketim_2,ort_tuketim_3,ort_tuketim_4,ort_tuketim_5,ort_tuketim_6,ort_tuketim_7,ort_tuketim_8,ort_tuketim_9,ort_tuketim_10,ort_tuketim_11,ort_tuketim_12,ort_tuketim_13,ort_tuketim_14,ort_tuketim_15,ort_tuketim_16,ort_tuketim_17,ort_tuketim_18,ort_tuketim_19,ort_tuketim_20,ort_tuketim_21,ort_tuketim_22,ort_tuketim_23,ort_tuketim_24,ort_tuketim_25,ort_tuketim_26,demand_1,demand_2,demand_3,demand_4,demand_5,demand_6,demand_7,demand_8,demand_9,demand_10,demand_11,demand_12,demand_13,demand_14,demand_15,demand_16,demand_17,demand_18,demand_19,demand_20,demand_21,demand_22,demand_23,demand_24,demand_25,demand_26,type,kacak
1,0.023,0.0228,0.321,0.015,0.023,0.028,0.0121,0.0,0,0.043,0.97,0.016,0.0122,0.212,0.034,0.076,0.023,0.014,0.0,0.0,0.032,0.89,0.021,0.0148,0.31,0.032,0.0812,0.0,0.0,0.002,0.156,0.003,0.002,0.0,0.0,0.0,0.0,0.012,0.0156,0.001,0.001,0.006,0.044,0.001,0.0,0.0,0.003,0.003,0.005,0.003,0.02,0.001,Mesken Genel,1
2,211.029,156.531,108.928,175.109,244.664,285.147,306.771,343.32,296.255,305.882,216.21,273.344,301.113,300.227,261.76,291.213,299.37,262.553,300.991,297.223,283.278,288.943,277.432,307.214,295.798,269.129,0.932,1.516,1.264,1.68,1.68,1.68,1.68,1.343,1.543,1.87,1.67,1.74,1.83,1.76,1.72,1.74,1.65,1.99,1.93,1.96,2.03,2.12,2.21,2.001,1.89,1.71,Mesken Genel,0
3,83321.0,129543.0,43123.0,44802.0,134321.0,36128.0,41965.0,138439.0,84781,130214,45512.0,40369.0,125058.0,126325.0,34213,47493.0,134675.0,82325,133376.0,44274.0,43012,123619.0,142432.0,42654.0,45273,133164.0,0.176,0.112,0.42,0.54,0.164,0.0,0.142,0.132,0.34,0.46,0.32,0.0,0.112,0.102,0.31,0.21,0.23,0.0,0.342,0.354,0.214,0.135,0.184,0.0,0.0,0.129,Tarımsal Sulama,1
4,368.606,310.068,361.025,456.98,615.427,698.81,714.701,727.263,645.465,697.321,721.934,745.761,675.785,693.561,731.643,732.564,832.543,688.543,685.875,762.982,752.697,632.543,686.443,773.547,772.234,803.565,2.616,2.496,2.376,2.248,2.608,2.78,2.504,1.98,1.97,1.67,1.86,1.95,2.38,1.4,1.77,1.66,1.99,2.44,1.89,1.98,1.87,2.0,2.02,2.18,2.09,2.15,Tarımsal Sulama,0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ticarethane Genel,1
6,2432.341,4421.541,4100.469,4597.591,5853.778,4299.122,4576.424,4039.701,4597.591,5853.778,7198.139,8521.071,7542.1234,7354.093,7894.321,7213.619,6455.5409,7391.923,8423.712,6987.396,7603.23,6954.919,7543.3211,8764.453,7934.332,8764.413,6.88,6.044,6.86,6.668,7.048,5.18,5.668,7.54,6.321,6.267,6.674,7.231,5.687,5.912,6.342,6.892,7.643,6.194,5.802,6.722,6.895,7.362,6.856,5.994,6.321,5.539,Ticarethane Genel,0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ticarethane Genel,1
8,2733.881,2838.973,2970.176,3101.077,3226.601,3339.164,2954.562,2859.492,2982.832,3321.432,3341.436,3499.453,3333.343,3128.473,2954.326,3123.217,3323.301,3542.132,2991.535,2959.622,2925.831,3342.653,3376.412,3443.129,3273.415,3641.421,3.18,3.144,3.26,3.168,3.048,3.18,3.468,4.54,3.221,3.467,3.274,3.131,3.787,3.932,3.742,3.992,3.943,4.194,3.902,3.922,3.995,4.362,4.156,3.994,4.121,4.029,Ticarethane Genel,0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ticarethane Genel,1
10,762.888,743.811,832.888,743.453,759.321,827.487,618.112,694.811,978.888,716.453,756.163,715.823,598.402,711.643,978.403,1247.694,1529.172,1774.843,1996.025,2214.422,2361.643,1742.871,1912.345,1891.225,2223.324,2371.382,1.14,1.104,1.108,1.164,1.162,1.32,1.14,1.12,1.142,1.921,1.992,1.756,1.916,1.84,1.668,1.736,1.888,1.568,1.744,1.456,1.676,1.835,1.9811,1.998,1.932,1.921,Ticarethane Genel,0
